digits=40000000000 size=1 RNS_STRATEGY=auto ECALC_PLANE_CAP=2^31 ECALC_NP=3 NTT_MODMUL=1 | total    66.07 s   (bs 25.3 + 10dP 0.1 + dm 22.9 + T1 0.0 + dc 0.0 + T2 0.0 = 48.3; init 17.8; other 0.0); VmHWM 12.2 GB | device 236.0 GB (max in use 236.0) VERIFY tag=koff_auto_2_31_r1
digits=40000000000 size=1 RNS_STRATEGY=auto ECALC_PLANE_CAP=2^31 ECALC_NP=3 NTT_MODMUL=1 | total    63.85 s   (bs 24.9 + 10dP 0.1 + dm 22.9 + T1 0.0 + dc 0.0 + T2 0.0 = 47.8; init 16.0; other 0.0); VmHWM 12.1 GB | device 236.0 GB (max in use 236.0) VERIFY tag=koff_auto_2_31_r2
digits=40000000000 size=1 RNS_STRATEGY=auto ECALC_PLANE_CAP=2^31 ECALC_NP=3 NTT_MODMUL=1 | total    66.23 s   (bs 25.5 + 10dP 0.1 + dm 23.0 + T1 0.0 + dc 0.0 + T2 0.0 = 48.6; init 17.6; other 0.0); VmHWM 12.1 GB | device 236.0 GB (max in use 236.0) VERIFY tag=koff_auto_2_31_r3
digits=1000000000 size=3 POOL_LOG=27 COMM_ALLTOALLV_DEPTH=1 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    19.15 s   (bs 4.0 + 10dP 0.0 + dm 11.0 + T1 0.0 + dc 0.5 + T2 0.0 = 15.6; init 3.6; other 0.0); VmHWM 18.7 GB | device 11.7 GB (per process, 3 processes on one node; max in use 11.7, peak live 1.3) identical tag=p3e9_d1_r1
digits=1000000000 size=3 POOL_LOG=27 COMM_ALLTOALLV_DEPTH=1 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    18.27 s   (bs 4.0 + 10dP 0.0 + dm 10.7 + T1 0.0 + dc 0.5 + T2 0.0 = 15.2; init 3.1; other 0.0); VmHWM 18.6 GB | device 11.7 GB (per process, 3 processes on one node; max in use 11.7, peak live 1.3) VERIFY tag=p3e9_d1_r2
digits=1000000000 size=3 POOL_LOG=27 COMM_ALLTOALLV_DEPTH=1 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    18.69 s   (bs 4.0 + 10dP 0.0 + dm 10.9 + T1 0.0 + dc 0.5 + T2 0.0 = 15.4; init 3.3; other 0.0); VmHWM 18.6 GB | device 11.7 GB (per process, 3 processes on one node; max in use 11.7, peak live 1.3) VERIFY tag=p3e9_d1_r3
digits=1000000000 size=3 POOL_LOG=27 COMM_ALLTOALLV_DEPTH=2 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    17.27 s   (bs 3.7 + 10dP 0.0 + dm 9.9 + T1 0.0 + dc 0.5 + T2 0.0 = 14.1; init 3.2; other 0.0); VmHWM 18.6 GB | device 11.7 GB (per process, 3 processes on one node; max in use 11.7, peak live 1.3) identical tag=p3e9_d2_r1
digits=1000000000 size=3 POOL_LOG=27 COMM_ALLTOALLV_DEPTH=2 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    17.29 s   (bs 3.7 + 10dP 0.0 + dm 10.1 + T1 0.0 + dc 0.5 + T2 0.0 = 14.2; init 3.0; other 0.0); VmHWM 18.6 GB | device 11.7 GB (per process, 3 processes on one node; max in use 11.7, peak live 1.3) VERIFY tag=p3e9_d2_r2
digits=1000000000 size=3 POOL_LOG=27 COMM_ALLTOALLV_DEPTH=2 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    17.56 s   (bs 3.7 + 10dP 0.0 + dm 10.0 + T1 0.0 + dc 0.5 + T2 0.0 = 14.2; init 3.4; other 0.0); VmHWM 18.6 GB | device 11.7 GB (per process, 3 processes on one node; max in use 11.7, peak live 1.3) VERIFY tag=p3e9_d2_r3
digits=10000000000 size=4 DIST_GEN=1 POOL_LOG=29 COMM_ALLTOALLV_DEPTH=1 MDB_SHIFT_CHUNK_MB=16 MN_T_CHUNK_MB=16 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    84.86 s   (bs 25.8 + 10dP 0.0 + dm 49.5 + T1 0.1 + dc 2.4 + T2 0.0 = 77.8; init 7.0; other 0.0); VmHWM 22.5 GB | device 51.7 GB (per process, 4 processes on one node; max in use 51.7, peak live 10.0) identical tag=p4_d1_both16_r1
digits=10000000000 size=4 DIST_GEN=1 POOL_LOG=29 COMM_ALLTOALLV_DEPTH=1 MDB_SHIFT_CHUNK_MB=16 MN_T_CHUNK_MB=16 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    89.73 s   (bs 27.4 + 10dP 0.0 + dm 53.3 + T1 0.1 + dc 2.7 + T2 0.0 = 83.4; init 6.3; other 0.0); VmHWM 22.5 GB | device 51.7 GB (per process, 4 processes on one node; max in use 51.7, peak live 10.0) VERIFY tag=p4_d1_both16_r2
